#
# Transition date estimate for umichbiological
#
# Site: umichbiological
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 1
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 19:09:36
# Spline RMSE gcc_mean: 0.00252
# Spline RMSE gcc_50: 0.00259
# Spline RMSE gcc_75: 0.00236
# Spline RMSE gcc_90: 0.00238
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
umichbiological,DB,0002,rising,gcc_90,2014-05-22,2014-05-26,2014-05-30,2014-05-20,2014-05-25,2014-05-29,2014-05-24,2014-05-27,2014-05-31,0.33053,0.34208,0.37506,0.32151,0.42181
umichbiological,DB,0002,rising,gcc_90,2015-05-12,2015-05-17,2015-05-24,2015-05-02,2015-05-16,2015-05-23,2015-05-14,2015-05-19,2015-05-25,0.32896,0.34137,0.36975,0.32081,0.41092
umichbiological,DB,0002,rising,gcc_75,2014-05-22,2014-05-26,2014-05-30,2014-05-20,2014-05-25,2014-05-29,2014-05-24,2014-05-27,2014-05-31,0.33017,0.34185,0.37291,0.32115,0.41902
umichbiological,DB,0002,rising,gcc_75,2015-05-12,2015-05-17,2015-05-24,2015-05-02,2015-05-16,2015-05-23,2015-05-14,2015-05-18,2015-05-25,0.32833,0.34077,0.3672,0.31996,0.40629
umichbiological,DB,0002,rising,gcc_50,2014-05-22,2014-05-26,2014-05-30,2014-05-20,2014-05-25,2014-05-29,2014-05-24,2014-05-27,2014-05-31,0.32902,0.34072,0.36991,0.32013,0.41526
umichbiological,DB,0002,rising,gcc_50,2015-05-04,2015-05-17,2015-05-24,2015-05-01,2015-05-16,2015-05-22,2015-05-14,2015-05-18,2015-05-25,0.3266,0.33931,0.36423,0.31865,0.40194
umichbiological,DB,0002,rising,gcc_mean,2014-05-22,2014-05-26,2014-05-30,2014-05-20,2014-05-25,2014-05-29,2014-05-24,2014-05-27,2014-05-31,0.32828,0.34011,0.36984,0.3197,0.41109
umichbiological,DB,0002,rising,gcc_mean,2015-05-04,2015-05-16,2015-05-24,2015-04-30,2015-05-15,2015-05-22,2015-05-13,2015-05-18,2015-05-25,0.32643,0.33557,0.3636,0.31837,0.39945
umichbiological,DB,0002,falling,gcc_90,2015-10-20,2015-10-16,2015-10-09,2015-10-22,2015-10-17,2015-10-11,2015-10-17,2015-10-14,2015-10-08,0.3367,0.34541,0.36842,0.32963,0.4043
umichbiological,DB,0002,falling,gcc_90,2014-10-19,2014-10-17,2014-10-12,2014-10-20,2014-10-18,2014-10-13,2014-10-17,2014-10-15,2014-10-11,0.32989,0.33945,0.36762,0.32354,0.41026
umichbiological,DB,0002,falling,gcc_75,2015-10-20,2015-10-15,2015-10-09,2015-10-21,2015-10-16,2015-10-11,2015-10-17,2015-10-14,2015-10-08,0.33612,0.34752,0.36696,0.32978,0.4021
umichbiological,DB,0002,falling,gcc_75,2014-10-19,2014-10-17,2014-10-12,2014-10-20,2014-10-18,2014-10-13,2014-10-18,2014-10-15,2014-10-11,0.32917,0.33847,0.36601,0.32283,0.4071
umichbiological,DB,0002,falling,gcc_50,2015-10-20,2015-10-15,2015-10-09,2015-10-22,2015-10-16,2015-10-11,2015-10-17,2015-10-14,2015-10-08,0.33536,0.34568,0.36472,0.32928,0.3964
umichbiological,DB,0002,falling,gcc_50,2014-10-19,2014-10-16,2014-10-11,2014-10-20,2014-10-17,2014-10-13,2014-10-17,2014-10-15,2014-10-10,0.32806,0.34084,0.36537,0.32269,0.40095
umichbiological,DB,0002,falling,gcc_mean,2015-10-20,2015-10-16,2015-10-10,2015-10-22,2015-10-17,2015-10-12,2015-10-17,2015-10-14,2015-10-09,0.33493,0.34253,0.36189,0.32928,0.39154
umichbiological,DB,0002,falling,gcc_mean,2014-10-19,2014-10-16,2014-10-12,2014-10-20,2014-10-17,2014-10-13,2014-10-17,2014-10-15,2014-10-11,0.32803,0.34104,0.36168,0.32275,0.39989
