#
# Transition date estimate for usmpj
#
# Site: usmpj
# Veg Type: EN
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 19:12:54
# Spline RMSE gcc_mean: 0.00198
# Spline RMSE gcc_50: 0.00211
# Spline RMSE gcc_75: 0.00141
# Spline RMSE gcc_90: 0.00148
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
usmpj,EN,0001,rising,gcc_90,2015-03-16,2015-03-24,2015-05-01,2015-03-14,2015-03-21,2015-04-27,2015-03-20,2015-03-28,2015-05-05,0.33744,0.34008,0.34447,0.33588,0.35289
usmpj,EN,0001,rising,gcc_75,2015-03-16,2015-03-22,2015-05-01,2015-03-14,2015-03-21,2015-04-25,2015-03-19,2015-03-26,2015-05-05,0.337,0.33913,0.34375,0.33537,0.35179
usmpj,EN,0001,rising,gcc_50,2015-03-14,2015-03-19,2015-04-23,2015-03-12,2015-03-16,2015-03-29,2015-03-17,2015-03-23,2015-05-05,0.33501,0.33755,0.3421,0.33333,0.35077
usmpj,EN,0001,rising,gcc_mean,2015-03-12,2015-03-17,2015-04-03,2015-03-09,2015-03-14,2015-03-26,2015-03-15,2015-03-21,2015-05-02,0.33392,0.33663,0.34136,0.33236,0.3503
usmpj,EN,0001,falling,gcc_90,2015-12-01,2015-11-18,2015-11-02,2015-12-05,2015-11-22,2015-11-05,2015-11-26,2015-11-13,2015-10-31,0.33773,0.34005,0.34454,0.33608,0.35268
usmpj,EN,0001,falling,gcc_90,2014-11-09,2014-11-02,2014-10-17,2014-11-10,2014-11-03,2014-10-18,2014-11-06,2014-10-29,2014-10-12,0.34053,0.34242,0.34563,0.33937,0.3518
usmpj,EN,0001,falling,gcc_75,2015-12-01,2015-11-17,2015-11-02,2015-12-05,2015-11-21,2015-11-05,2015-11-26,2015-11-13,2015-10-30,0.33713,0.33963,0.34382,0.3356,0.35176
usmpj,EN,0001,falling,gcc_75,2014-11-09,2014-11-02,2014-10-15,2014-11-10,2014-11-03,2014-10-16,2014-11-06,2014-10-29,2014-10-10,0.34018,0.34206,0.34523,0.33893,0.35145
usmpj,EN,0001,falling,gcc_50,2015-12-01,2015-11-20,2015-11-06,2015-12-09,2015-11-24,2015-11-10,2015-11-24,2015-11-15,2015-11-02,0.33449,0.33693,0.34197,0.33277,0.35069
usmpj,EN,0001,falling,gcc_50,2014-11-08,2014-11-01,2014-10-12,2014-11-09,2014-11-02,2014-10-13,2014-11-03,2014-10-27,2014-10-04,0.33917,0.34152,0.3449,0.33819,0.35158
usmpj,EN,0001,falling,gcc_mean,2015-12-04,2015-11-19,2015-11-05,2015-12-10,2015-11-25,2015-11-10,2015-11-24,2015-11-13,2015-11-01,0.33433,0.337,0.34166,0.33262,0.35029
usmpj,EN,0001,falling,gcc_mean,2014-11-07,2014-11-01,2014-10-11,2014-11-08,2014-11-02,2014-10-12,2014-11-02,2014-10-25,2014-10-04,0.33891,0.34085,0.34479,0.33764,0.35176
