#
# Transition date estimate for uwmfieldsta
#
# Site: uwmfieldsta
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 19:13:34
# Spline RMSE gcc_mean: 0.00322
# Spline RMSE gcc_50: 0.00325
# Spline RMSE gcc_75: 0.00345
# Spline RMSE gcc_90: 0.00406
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
uwmfieldsta,DB,0001,rising,gcc_90,2013-05-09,2013-05-14,2013-05-18,2013-05-02,2013-05-13,2013-05-17,2013-05-12,2013-05-15,2013-05-19,0.32538,0.33734,0.36309,0.31708,0.40588
uwmfieldsta,DB,0001,rising,gcc_90,2014-05-18,2014-05-21,2014-05-25,2014-05-14,2014-05-20,2014-05-23,2014-05-19,2014-05-22,2014-05-26,0.32624,0.33915,0.37068,0.31674,0.41256
uwmfieldsta,DB,0001,rising,gcc_90,2015-05-05,2015-05-12,2015-05-18,2015-04-29,2015-05-11,2015-05-17,2015-05-09,2015-05-14,2015-05-19,0.32472,0.3366,0.36353,0.31551,0.40871
uwmfieldsta,DB,0001,rising,gcc_75,2013-05-09,2013-05-14,2013-05-18,2013-05-02,2013-05-13,2013-05-17,2013-05-12,2013-05-15,2013-05-19,0.32446,0.33617,0.36157,0.31634,0.40252
uwmfieldsta,DB,0001,rising,gcc_75,2014-05-17,2014-05-21,2014-05-25,2014-05-14,2014-05-20,2014-05-23,2014-05-19,2014-05-22,2014-05-26,0.32388,0.33812,0.36807,0.31561,0.40836
uwmfieldsta,DB,0001,rising,gcc_75,2015-05-04,2015-05-12,2015-05-18,2015-04-30,2015-05-11,2015-05-17,2015-05-08,2015-05-14,2015-05-19,0.32322,0.33572,0.36163,0.31462,0.40458
uwmfieldsta,DB,0001,rising,gcc_50,2013-05-06,2013-05-14,2013-05-18,2013-04-30,2013-05-13,2013-05-17,2013-05-11,2013-05-15,2013-05-19,0.32271,0.33489,0.35914,0.31441,0.39885
uwmfieldsta,DB,0001,rising,gcc_50,2014-05-16,2014-05-20,2014-05-25,2014-05-05,2014-05-19,2014-05-23,2014-05-19,2014-05-22,2014-05-26,0.32264,0.33161,0.36535,0.31395,0.40297
uwmfieldsta,DB,0001,rising,gcc_50,2015-05-04,2015-05-12,2015-05-18,2015-04-30,2015-05-11,2015-05-17,2015-05-07,2015-05-13,2015-05-19,0.32201,0.33456,0.35953,0.31364,0.40041
uwmfieldsta,DB,0001,rising,gcc_mean,2013-05-06,2013-05-14,2013-05-18,2013-05-01,2013-05-13,2013-05-17,2013-05-11,2013-05-15,2013-05-19,0.3227,0.33476,0.35895,0.31466,0.39842
uwmfieldsta,DB,0001,rising,gcc_mean,2014-05-16,2014-05-20,2014-05-25,2014-05-05,2014-05-19,2014-05-23,2014-05-19,2014-05-22,2014-05-26,0.32256,0.33102,0.36489,0.3139,0.40289
