#
# Transition date estimate for uwmfieldsta
#
# Site: uwmfieldsta
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 19:13:59
# Spline RMSE gcc_mean: 0.00348
# Spline RMSE gcc_50: 0.00367
# Spline RMSE gcc_75: 0.00452
# Spline RMSE gcc_90: 0.00474
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
uwmfieldsta,GR,0001,rising,gcc_90,2013-04-29,2013-05-02,2013-05-09,2013-04-28,2013-05-01,2013-05-07,2013-05-01,2013-05-04,2013-05-10,0.34101,0.35206,0.37756,0.33296,0.42132
uwmfieldsta,GR,0001,rising,gcc_90,2014-05-05,2014-05-09,2014-05-20,2014-05-04,2014-05-08,2014-05-17,2014-05-07,2014-05-11,2014-05-21,0.34025,0.35263,0.37815,0.33389,0.41934
uwmfieldsta,GR,0001,rising,gcc_90,2015-04-28,2015-05-06,2015-05-18,2015-04-22,2015-05-05,2015-05-15,2015-05-02,2015-05-08,2015-05-20,0.33517,0.34855,0.37294,0.32653,0.4179
uwmfieldsta,GR,0001,rising,gcc_75,2013-04-29,2013-05-02,2013-05-09,2013-04-28,2013-05-01,2013-05-07,2013-05-01,2013-05-04,2013-05-10,0.34029,0.35106,0.37512,0.33259,0.41615
uwmfieldsta,GR,0001,rising,gcc_75,2015-04-28,2015-05-06,2015-05-18,2015-04-22,2015-05-05,2015-05-15,2015-05-02,2015-05-08,2015-05-20,0.33483,0.34768,0.37154,0.32609,0.4154
uwmfieldsta,GR,0001,rising,gcc_50,2013-04-28,2013-05-01,2013-05-08,2013-04-26,2013-04-30,2013-05-07,2013-04-30,2013-05-03,2013-05-09,0.33485,0.34667,0.37009,0.32675,0.41284
uwmfieldsta,GR,0001,rising,gcc_50,2015-04-25,2015-05-05,2015-05-16,2015-04-21,2015-05-04,2015-05-13,2015-05-02,2015-05-08,2015-05-17,0.33323,0.34351,0.36716,0.32556,0.40593
uwmfieldsta,GR,0001,rising,gcc_mean,2013-04-28,2013-05-01,2013-05-08,2013-04-26,2013-04-30,2013-05-07,2013-04-29,2013-05-02,2013-05-09,0.33396,0.3465,0.37066,0.32555,0.41278
uwmfieldsta,GR,0001,rising,gcc_mean,2015-04-25,2015-05-05,2015-05-16,2015-04-20,2015-05-04,2015-05-13,2015-05-02,2015-05-07,2015-05-17,0.33241,0.34284,0.36696,0.32439,0.40563
uwmfieldsta,GR,0001,falling,gcc_90,2015-10-14,2015-09-25,2015-09-09,2015-10-18,2015-10-01,2015-09-12,2015-10-08,2015-09-20,2015-09-08,0.33386,0.34752,0.37326,0.32516,0.41685
uwmfieldsta,GR,0001,falling,gcc_90,2014-10-09,2014-09-21,2014-09-06,2014-10-10,2014-09-22,2014-09-11,2014-10-06,2014-09-18,2014-09-04,0.32961,0.34343,0.37091,0.32127,0.41928
uwmfieldsta,GR,0001,falling,gcc_90,2013-10-02,2013-09-26,2013-09-06,2013-10-09,2013-09-27,2013-09-12,2013-09-29,2013-09-23,2013-09-04,0.33004,0.34231,0.36947,0.32122,0.41722
uwmfieldsta,GR,0001,falling,gcc_75,2015-10-14,2015-09-25,2015-09-09,2015-10-18,2015-10-01,2015-09-12,2015-10-09,2015-09-21,2015-09-08,0.33284,0.34649,0.37082,0.32427,0.41333
uwmfieldsta,GR,0001,falling,gcc_75,2014-10-09,2014-09-21,2014-09-09,2014-10-11,2014-09-23,2014-09-12,2014-10-07,2014-09-19,2014-09-06,0.32882,0.34244,0.36628,0.31988,0.4124
uwmfieldsta,GR,0001,falling,gcc_75,2013-10-08,2013-09-26,2013-09-09,2013-10-12,2013-09-27,2013-09-14,2013-09-30,2013-09-24,2013-09-05,0.32635,0.34067,0.36488,0.317,0.41245
uwmfieldsta,GR,0001,falling,gcc_50,2015-10-17,2015-09-29,2015-09-11,2015-10-21,2015-10-05,2015-09-13,2015-10-09,2015-09-22,2015-09-10,0.32978,0.3428,0.36549,0.32191,0.40762
uwmfieldsta,GR,0001,falling,gcc_50,2014-10-10,2014-09-21,2014-09-11,2014-10-11,2014-09-23,2014-09-14,2014-10-07,2014-09-19,2014-09-04,0.32638,0.34083,0.36448,0.31892,0.40931
uwmfieldsta,GR,0001,falling,gcc_50,2013-09-30,2013-09-26,2013-09-10,2013-10-09,2013-09-27,2013-09-14,2013-09-28,2013-09-24,2013-09-03,0.32677,0.33859,0.36495,0.31859,0.40685
uwmfieldsta,GR,0001,falling,gcc_mean,2015-10-16,2015-09-29,2015-09-11,2015-10-20,2015-10-05,2015-09-13,2015-10-08,2015-09-22,2015-09-10,0.33012,0.34221,0.36567,0.32173,0.40841
uwmfieldsta,GR,0001,falling,gcc_mean,2014-10-09,2014-09-21,2014-09-11,2014-10-11,2014-09-23,2014-09-14,2014-10-07,2014-09-19,2014-09-04,0.32712,0.34019,0.36463,0.31796,0.41054
uwmfieldsta,GR,0001,falling,gcc_mean,2013-10-01,2013-09-26,2013-09-11,2013-10-10,2013-09-27,2013-09-14,2013-09-28,2013-09-24,2013-09-10,0.32441,0.33818,0.36291,0.31549,0.40751
