#
# Transition date estimate for vaira
#
# Site: vaira
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 19:14:40
# Spline RMSE gcc_mean: 0.00171
# Spline RMSE gcc_50: 0.00188
# Spline RMSE gcc_75: 0.00178
# Spline RMSE gcc_90: 0.00184
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
vaira,GR,0001,rising,gcc_90,2012-02-18,2012-02-21,2012-02-23,2012-02-16,2012-02-16,2012-02-16,2012-03-19,2012-03-19,2012-03-19,0.31852,0.32645,0.35209,0.31203,0.38345
vaira,GR,0001,rising,gcc_90,2012-11-07,2012-12-08,2012-12-12,2012-10-24,2012-11-24,2012-12-11,2012-11-09,2012-12-09,2012-12-23,0.31163,0.32012,0.3352,0.30593,0.36403
vaira,GR,0001,rising,gcc_90,2014-02-11,2014-02-18,2014-03-01,2014-02-10,2014-02-17,2014-02-27,2014-02-13,2014-02-21,2014-03-02,0.31694,0.33138,0.36047,0.30876,0.40626
vaira,GR,0001,rising,gcc_90,2014-11-14,2014-11-30,2014-12-13,2014-11-12,2014-11-29,2014-12-12,2014-11-18,2014-12-01,2014-12-16,0.31478,0.32429,0.34104,0.30882,0.37206
vaira,GR,0001,rising,gcc_75,2012-02-11,2012-02-20,2012-02-23,2012-02-10,2012-02-16,2012-02-16,2012-02-12,2012-03-19,2012-03-19,0.31719,0.32443,0.34938,0.31085,0.38141
vaira,GR,0001,rising,gcc_75,2012-11-06,2012-11-25,2012-12-12,2012-10-24,2012-11-20,2012-12-11,2012-11-08,2012-11-28,2012-12-23,0.31061,0.31923,0.33441,0.3051,0.36176
vaira,GR,0001,rising,gcc_75,2014-02-11,2014-02-20,2014-03-01,2014-02-10,2014-02-19,2014-02-28,2014-02-13,2014-02-22,2014-03-02,0.31564,0.33097,0.35858,0.30754,0.40392
vaira,GR,0001,rising,gcc_75,2014-11-13,2014-11-29,2014-12-12,2014-11-11,2014-11-28,2014-12-11,2014-11-16,2014-12-01,2014-12-13,0.31273,0.32143,0.33909,0.30648,0.3699
vaira,GR,0001,rising,gcc_50,2012-02-11,2012-02-20,2012-02-23,2012-02-10,2012-02-16,2012-02-16,2012-02-12,2012-03-19,2012-03-19,0.3155,0.32489,0.34586,0.30947,0.37739
vaira,GR,0001,rising,gcc_50,2012-11-03,2012-11-20,2012-12-12,2012-10-23,2012-11-18,2012-12-11,2012-11-08,2012-11-27,2013-02-17,0.30969,0.31748,0.33285,0.30444,0.35813
vaira,GR,0001,rising,gcc_50,2014-02-15,2014-02-24,2014-03-02,2014-02-14,2014-02-23,2014-03-01,2014-02-17,2014-02-25,2014-03-03,0.32184,0.33484,0.36022,0.31437,0.402
vaira,GR,0001,rising,gcc_50,2014-11-09,2014-11-27,2014-12-09,2014-11-02,2014-11-26,2014-12-08,2014-11-13,2014-11-29,2014-12-10,0.30936,0.31856,0.33404,0.30378,0.36385
vaira,GR,0001,rising,gcc_mean,2012-02-21,2012-03-02,2012-03-05,2012-02-16,2012-02-16,2012-02-16,2012-03-19,2012-03-19,2012-03-19,0.3154,0.32689,0.34918,0.3098,0.37822
vaira,GR,0001,rising,gcc_mean,2012-11-03,2012-11-21,2012-12-12,2012-10-23,2012-11-18,2012-12-11,2012-11-08,2012-11-27,2012-12-23,0.30959,0.31781,0.33336,0.30435,0.35823
vaira,GR,0001,rising,gcc_mean,2014-02-15,2014-02-23,2014-03-02,2014-02-14,2014-02-22,2014-02-28,2014-02-17,2014-02-25,2014-03-03,0.32199,0.33294,0.3597,0.3145,0.3998
vaira,GR,0001,rising,gcc_mean,2014-11-10,2014-11-28,2014-12-09,2014-11-03,2014-11-27,2014-12-08,2014-11-13,2014-11-30,2014-12-10,0.30998,0.31889,0.33414,0.30451,0.36257
