#
# Transition date estimate for vancouverisland
#
# Site: vancouverisland
# Veg Type: EN
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 19:15:14
# Spline RMSE gcc_mean: 0.00396
# Spline RMSE gcc_50: 0.0043
# Spline RMSE gcc_75: 0.00388
# Spline RMSE gcc_90: 0.00312
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
vancouverisland,EN,0001,rising,gcc_90,2012-04-08,2012-05-08,2012-05-30,2012-04-06,2012-04-19,2012-05-25,2012-04-21,2012-05-14,2012-06-02,0.37121,0.37572,0.38258,0.36936,0.395
vancouverisland,EN,0001,rising,gcc_90,2013-05-01,2013-05-17,2013-05-26,2013-03-26,2013-05-02,2013-05-23,2013-05-04,2013-05-23,2013-05-27,0.3752,0.37832,0.38444,0.37337,0.39338
vancouverisland,EN,0001,rising,gcc_90,2014-04-26,2014-05-05,2014-05-24,2014-03-31,2014-04-27,2014-05-19,2014-04-27,2014-05-17,2014-05-26,0.37067,0.37406,0.37995,0.36928,0.38886
vancouverisland,EN,0001,rising,gcc_90,2015-04-23,2015-05-13,2015-05-18,2015-04-15,2015-04-27,2015-05-16,2015-04-24,2015-05-16,2015-05-19,0.37153,0.37453,0.3814,0.36953,0.3899
vancouverisland,EN,0001,rising,gcc_75,2012-04-06,2012-04-19,2012-05-27,2012-03-27,2012-04-10,2012-05-24,2012-04-10,2012-05-07,2012-05-29,0.36918,0.37287,0.37924,0.3668,0.39154
vancouverisland,EN,0001,rising,gcc_75,2013-04-17,2013-05-04,2013-05-25,2013-03-26,2013-05-01,2013-05-22,2013-05-02,2013-05-21,2013-05-27,0.37336,0.37623,0.38188,0.37156,0.39182
vancouverisland,EN,0001,rising,gcc_75,2014-04-03,2014-05-01,2014-05-22,2014-03-30,2014-04-27,2014-05-18,2014-04-12,2014-05-11,2014-05-24,0.36842,0.3716,0.37748,0.36652,0.38799
vancouverisland,EN,0001,rising,gcc_75,2015-04-18,2015-05-07,2015-05-17,2015-04-15,2015-04-30,2015-05-15,2015-05-01,2015-05-14,2015-05-19,0.36962,0.3732,0.37886,0.36806,0.38907
vancouverisland,EN,0001,rising,gcc_50,2012-04-04,2012-04-18,2012-05-27,2012-03-24,2012-04-07,2012-05-24,2012-04-09,2012-05-09,2012-05-30,0.36706,0.37113,0.37736,0.36506,0.3896
vancouverisland,EN,0001,rising,gcc_50,2013-04-19,2013-05-16,2013-05-26,2013-03-25,2013-04-28,2013-05-22,2013-05-06,2013-05-22,2013-05-28,0.37155,0.37454,0.38056,0.36965,0.38976
vancouverisland,EN,0001,rising,gcc_50,2014-04-02,2014-05-01,2014-05-23,2014-03-28,2014-04-26,2014-05-19,2014-04-28,2014-05-15,2014-05-25,0.36599,0.3695,0.37603,0.36387,0.38688
