#
# Transition date estimate for westpond
#
# Site: westpond
# Veg Type: WL
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 19:15:33
# Spline RMSE gcc_mean: 0.00289
# Spline RMSE gcc_50: 0.0028
# Spline RMSE gcc_75: 0.00275
# Spline RMSE gcc_90: 0.00297
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
westpond,WL,0001,rising,gcc_90,2014-04-23,2014-05-01,2014-05-11,2014-04-20,2014-04-30,2014-05-09,2014-04-26,2014-05-03,2014-05-12,0.3419,0.35269,0.37381,0.33458,0.41113
westpond,WL,0001,rising,gcc_90,2015-05-02,2015-05-08,2015-05-21,2015-04-30,2015-05-06,2015-05-18,2015-05-04,2015-05-11,2015-05-23,0.34671,0.35482,0.36978,0.34132,0.39655
westpond,WL,0001,rising,gcc_75,2014-04-22,2014-04-30,2014-05-11,2014-04-20,2014-04-29,2014-05-09,2014-04-25,2014-05-03,2014-05-12,0.33999,0.34981,0.36981,0.33371,0.403
westpond,WL,0001,rising,gcc_75,2015-04-24,2015-05-05,2015-05-20,2015-04-22,2015-05-03,2015-05-17,2015-04-29,2015-05-07,2015-05-21,0.34057,0.35008,0.3667,0.33473,0.39648
westpond,WL,0001,rising,gcc_50,2014-04-21,2014-04-30,2014-05-11,2014-04-19,2014-04-28,2014-05-09,2014-04-24,2014-05-02,2014-05-12,0.33806,0.34818,0.36569,0.33212,0.39741
westpond,WL,0001,rising,gcc_50,2015-04-23,2015-05-04,2015-05-19,2015-04-20,2015-05-03,2015-05-17,2015-04-28,2015-05-07,2015-05-22,0.33886,0.34718,0.36245,0.33364,0.39117
westpond,WL,0001,rising,gcc_mean,2014-04-20,2014-04-29,2014-05-10,2014-04-17,2014-04-28,2014-05-08,2014-04-23,2014-05-01,2014-05-11,0.33777,0.34651,0.36416,0.33181,0.3939
westpond,WL,0001,rising,gcc_mean,2015-04-23,2015-05-05,2015-05-23,2015-04-20,2015-05-03,2015-05-19,2015-04-27,2015-05-07,2015-05-26,0.33896,0.34814,0.36363,0.33345,0.39324
westpond,WL,0001,falling,gcc_90,2014-11-29,2014-11-23,2014-11-09,2014-11-30,2014-11-24,2014-11-11,2014-11-27,2014-11-21,2014-11-08,0.3414,0.35427,0.37539,0.33555,0.41368
westpond,WL,0001,falling,gcc_75,2014-11-29,2014-11-23,2014-11-10,2014-11-30,2014-11-24,2014-11-12,2014-11-27,2014-11-21,2014-11-09,0.34015,0.35202,0.37177,0.33516,0.4053
westpond,WL,0001,falling,gcc_50,2015-12-02,2015-11-26,2015-11-20,2015-12-07,2015-12-03,2015-11-21,2015-11-26,2015-11-24,2015-11-18,0.33207,0.33939,0.35993,0.32533,0.39448
westpond,WL,0001,falling,gcc_50,2014-11-29,2014-11-24,2014-11-14,2014-11-30,2014-11-25,2014-11-17,2014-11-27,2014-11-22,2014-11-10,0.33864,0.34818,0.36533,0.33359,0.39698
westpond,WL,0001,falling,gcc_mean,2015-12-01,2015-11-26,2015-11-19,2015-12-04,2015-11-29,2015-11-20,2015-11-28,2015-11-24,2015-11-18,0.32925,0.34173,0.35969,0.32509,0.39184
westpond,WL,0001,falling,gcc_mean,2014-11-29,2014-11-25,2014-11-14,2014-11-30,2014-11-26,2014-11-17,2014-11-28,2014-11-23,2014-11-11,0.33812,0.34623,0.36375,0.33205,0.39527
