#
# Transition date estimate for willowcreek
#
# Site: willowcreek
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 19:15:44
# Spline RMSE gcc_mean: 0.00283
# Spline RMSE gcc_50: 0.00312
# Spline RMSE gcc_75: 0.00343
# Spline RMSE gcc_90: 0.00359
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
willowcreek,DB,0001,rising,gcc_90,2012-05-03,2012-05-06,2012-05-11,2012-05-02,2012-05-05,2012-05-10,2012-05-05,2012-05-08,2012-05-12,0.3442,0.35949,0.39167,0.33774,0.44483
willowcreek,DB,0001,rising,gcc_90,2013-05-13,2013-05-16,2013-05-21,2013-05-12,2013-05-15,2013-05-20,2013-05-15,2013-05-18,2013-05-22,0.33548,0.35317,0.39266,0.32858,0.4482
willowcreek,DB,0001,rising,gcc_90,2014-05-20,2014-05-22,2014-05-26,2014-05-19,2014-05-21,2014-05-25,2014-05-21,2014-05-23,2014-05-27,0.3389,0.35523,0.39611,0.32882,0.45489
willowcreek,DB,0001,rising,gcc_90,2015-05-08,2015-05-13,2015-05-19,2015-05-07,2015-05-12,2015-05-17,2015-05-10,2015-05-15,2015-05-20,0.33823,0.35696,0.3936,0.32846,0.4463
willowcreek,DB,0001,rising,gcc_75,2012-05-04,2012-05-07,2012-05-12,2012-05-03,2012-05-06,2012-05-11,2012-05-06,2012-05-09,2012-05-13,0.34469,0.35881,0.38884,0.33596,0.43921
willowcreek,DB,0001,rising,gcc_75,2013-05-14,2013-05-17,2013-05-21,2013-05-13,2013-05-16,2013-05-20,2013-05-16,2013-05-18,2013-05-22,0.3378,0.35532,0.38831,0.32792,0.44409
willowcreek,DB,0001,rising,gcc_75,2014-05-20,2014-05-22,2014-05-26,2014-05-19,2014-05-21,2014-05-25,2014-05-22,2014-05-24,2014-05-27,0.33642,0.35195,0.39105,0.32818,0.45004
willowcreek,DB,0001,rising,gcc_75,2015-05-08,2015-05-13,2015-05-19,2015-05-07,2015-05-12,2015-05-17,2015-05-11,2015-05-15,2015-05-20,0.33628,0.35469,0.38945,0.32756,0.44149
willowcreek,DB,0001,rising,gcc_50,2012-05-05,2012-05-08,2012-05-13,2012-05-04,2012-05-07,2012-05-12,2012-05-07,2012-05-10,2012-05-14,0.34268,0.35656,0.38538,0.33592,0.43329
willowcreek,DB,0001,rising,gcc_50,2013-05-14,2013-05-17,2013-05-21,2013-05-13,2013-05-16,2013-05-20,2013-05-16,2013-05-19,2013-05-22,0.33476,0.35165,0.38392,0.32664,0.44001
willowcreek,DB,0001,rising,gcc_50,2014-05-21,2014-05-23,2014-05-27,2014-05-20,2014-05-22,2014-05-26,2014-05-22,2014-05-24,2014-05-28,0.33652,0.35306,0.38849,0.32715,0.44096
willowcreek,DB,0001,rising,gcc_50,2015-05-09,2015-05-13,2015-05-19,2015-05-07,2015-05-12,2015-05-18,2015-05-11,2015-05-15,2015-05-20,0.33666,0.35139,0.38005,0.32677,0.43294
willowcreek,DB,0001,rising,gcc_mean,2012-05-04,2012-05-07,2012-05-13,2012-05-03,2012-05-06,2012-05-11,2012-05-06,2012-05-09,2012-05-14,0.34012,0.35328,0.38842,0.33227,0.43152
willowcreek,DB,0001,rising,gcc_mean,2013-05-14,2013-05-17,2013-05-21,2013-05-13,2013-05-16,2013-05-20,2013-05-16,2013-05-18,2013-05-22,0.33481,0.35147,0.38393,0.32636,0.43831
willowcreek,DB,0001,rising,gcc_mean,2014-05-21,2014-05-23,2014-05-27,2014-05-20,2014-05-22,2014-05-25,2014-05-22,2014-05-24,2014-05-28,0.33738,0.35398,0.38906,0.32685,0.44058
willowcreek,DB,0001,rising,gcc_mean,2015-05-09,2015-05-13,2015-05-19,2015-05-07,2015-05-12,2015-05-18,2015-05-11,2015-05-15,2015-05-20,0.33637,0.34989,0.37953,0.32634,0.4321
willowcreek,DB,0001,falling,gcc_90,2015-10-01,2015-09-26,2015-09-14,2015-10-02,2015-09-28,2015-09-16,2015-09-29,2015-09-24,2015-09-12,0.35042,0.36573,0.39217,0.3403,0.4427
willowcreek,DB,0001,falling,gcc_90,2014-09-22,2014-09-20,2014-09-16,2014-09-23,2014-09-21,2014-09-17,2014-09-21,2014-09-19,2014-09-15,0.32674,0.34637,0.38096,0.31438,0.44454
willowcreek,DB,0001,falling,gcc_90,2013-09-26,2013-09-22,2013-09-14,2013-09-27,2013-09-23,2013-09-16,2013-09-24,2013-09-21,2013-09-12,0.33869,0.35868,0.38688,0.33155,0.44035
willowcreek,DB,0001,falling,gcc_90,2012-09-23,2012-09-19,2012-09-11,2012-09-24,2012-09-20,2012-09-13,2012-09-21,2012-09-17,2012-09-10,0.33928,0.35979,0.3885,0.33417,0.43906
willowcreek,DB,0001,falling,gcc_75,2015-10-02,2015-09-27,2015-09-14,2015-10-03,2015-09-28,2015-09-16,2015-09-29,2015-09-24,2015-09-12,0.34453,0.36123,0.38879,0.33838,0.43905
willowcreek,DB,0001,falling,gcc_75,2014-09-22,2014-09-20,2014-09-16,2014-09-23,2014-09-21,2014-09-17,2014-09-21,2014-09-19,2014-09-15,0.32379,0.34353,0.37825,0.31133,0.44096
willowcreek,DB,0001,falling,gcc_75,2013-09-25,2013-09-22,2013-09-12,2013-09-26,2013-09-23,2013-09-15,2013-09-23,2013-09-20,2013-09-09,0.33997,0.35555,0.38743,0.33069,0.44306
willowcreek,DB,0001,falling,gcc_75,2012-09-23,2012-09-20,2012-09-11,2012-09-24,2012-09-21,2012-09-13,2012-09-21,2012-09-18,2012-09-10,0.33734,0.35352,0.3853,0.33215,0.43443
willowcreek,DB,0001,falling,gcc_50,2015-10-01,2015-09-27,2015-09-15,2015-10-02,2015-09-28,2015-09-17,2015-09-29,2015-09-24,2015-09-13,0.34312,0.35581,0.38332,0.33364,0.43239
willowcreek,DB,0001,falling,gcc_50,2014-09-22,2014-09-20,2014-09-15,2014-09-23,2014-09-21,2014-09-17,2014-09-20,2014-09-18,2014-09-14,0.31386,0.33354,0.37539,0.31044,0.43369
willowcreek,DB,0001,falling,gcc_50,2013-09-25,2013-09-22,2013-09-12,2013-09-26,2013-09-23,2013-09-15,2013-09-23,2013-09-20,2013-09-10,0.33595,0.35135,0.38168,0.32679,0.43438
willowcreek,DB,0001,falling,gcc_50,2012-09-23,2012-09-20,2012-09-11,2012-09-24,2012-09-21,2012-09-14,2012-09-21,2012-09-18,2012-09-10,0.3316,0.34833,0.37804,0.32626,0.42378
willowcreek,DB,0001,falling,gcc_mean,2015-10-01,2015-09-26,2015-09-14,2015-10-02,2015-09-28,2015-09-17,2015-09-29,2015-09-24,2015-09-13,0.34388,0.35931,0.38457,0.33581,0.43035
willowcreek,DB,0001,falling,gcc_mean,2014-09-22,2014-09-20,2014-09-15,2014-09-23,2014-09-21,2014-09-17,2014-09-20,2014-09-19,2014-09-14,0.31473,0.33421,0.37573,0.31134,0.43257
willowcreek,DB,0001,falling,gcc_mean,2013-09-25,2013-09-22,2013-09-13,2013-09-26,2013-09-23,2013-09-16,2013-09-24,2013-09-20,2013-09-11,0.33607,0.35134,0.38033,0.32699,0.43148
willowcreek,DB,0001,falling,gcc_mean,2012-09-23,2012-09-20,2012-09-11,2012-09-24,2012-09-21,2012-09-13,2012-09-21,2012-09-18,2012-09-10,0.33225,0.34872,0.37863,0.32695,0.42545
