#
# Transition date estimate for windriver
#
# Site: windriver
# Veg Type: EN
# ROI ID Number: 0002
# Aggregation period: 1
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 19:17:01
# Spline RMSE gcc_mean: 0.00262
# Spline RMSE gcc_50: 0.00294
# Spline RMSE gcc_75: 0.00299
# Spline RMSE gcc_90: 0.00244
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
windriver,EN,0002,rising,gcc_90,2015-03-04,2015-03-24,2015-04-16,2015-02-21,2015-03-07,2015-04-13,2015-03-12,2015-03-27,2015-05-24,0.36979,0.37236,0.37682,0.3682,0.38487
windriver,EN,0002,rising,gcc_75,2015-03-22,2015-04-13,2015-05-23,2015-03-10,2015-03-27,2015-05-17,2015-04-09,2015-04-24,2015-05-26,0.37165,0.37376,0.37754,0.37023,0.38463
windriver,EN,0002,rising,gcc_50,2015-03-21,2015-04-11,2015-05-22,2015-03-07,2015-04-07,2015-05-01,2015-04-11,2015-04-18,2015-05-26,0.36888,0.37071,0.37414,0.36778,0.38015
windriver,EN,0002,rising,gcc_mean,2015-03-18,2015-04-09,2015-05-09,2015-03-06,2015-03-21,2015-04-14,2015-03-31,2015-04-16,2015-05-16,0.36771,0.36913,0.37178,0.36677,0.3767
windriver,EN,0002,falling,gcc_90,2015-10-22,2015-09-28,2015-09-14,2015-11-12,2015-10-03,2015-09-22,2015-09-29,2015-09-22,2015-09-09,0.37207,0.37431,0.37869,0.37076,0.38589
windriver,EN,0002,falling,gcc_90,2014-11-10,2014-10-23,2014-09-27,2014-11-12,2014-11-10,2014-10-10,2014-11-08,2014-10-22,2014-09-21,0.37111,0.37366,0.3779,0.36959,0.38589
windriver,EN,0002,falling,gcc_75,2015-11-12,2015-10-08,2015-09-20,2015-11-16,2015-11-09,2015-09-25,2015-11-07,2015-09-29,2015-09-16,0.36919,0.37162,0.37583,0.36758,0.38377
windriver,EN,0002,falling,gcc_75,2014-11-14,2014-11-08,2014-09-28,2014-11-18,2014-11-11,2014-10-07,2014-11-10,2014-11-04,2014-09-21,0.36846,0.37148,0.37643,0.36691,0.38567
windriver,EN,0002,falling,gcc_50,2015-11-12,2015-10-23,2015-09-24,2015-11-17,2015-11-09,2015-09-30,2015-11-05,2015-10-16,2015-09-18,0.36608,0.36853,0.37252,0.36492,0.37974
windriver,EN,0002,falling,gcc_50,2014-11-13,2014-11-10,2014-10-10,2014-11-15,2014-11-12,2014-10-15,2014-11-10,2014-11-07,2014-10-05,0.36499,0.36714,0.37176,0.36378,0.3796
windriver,EN,0002,falling,gcc_mean,2015-11-16,2015-11-09,2015-09-27,2015-11-23,2015-11-13,2015-10-03,2015-11-11,2015-10-23,2015-09-21,0.36448,0.36675,0.37063,0.36312,0.37773
windriver,EN,0002,falling,gcc_mean,2014-11-12,2014-11-08,2014-10-10,2014-11-14,2014-11-11,2014-10-14,2014-11-09,2014-11-06,2014-10-05,0.36466,0.36703,0.37108,0.36332,0.37828
