#
# Transition date estimate for woodshole
#
# Site: woodshole
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2011
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 19:17:13
# Spline RMSE gcc_mean: 0.00192
# Spline RMSE gcc_50: 0.00237
# Spline RMSE gcc_75: 0.00297
# Spline RMSE gcc_90: 0.00272
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
woodshole,DB,0001,rising,gcc_90,2011-05-02,2011-05-06,2011-05-13,2011-05-01,2011-05-05,2011-05-11,2011-05-05,2011-05-08,2011-05-14,0.37173,0.38053,0.40183,0.36676,0.43346
woodshole,DB,0001,rising,gcc_90,2012-05-03,2012-05-09,2012-05-16,2012-05-01,2012-05-08,2012-05-14,2012-05-06,2012-05-11,2012-05-17,0.37785,0.38823,0.41085,0.37095,0.4479
woodshole,DB,0001,rising,gcc_90,2013-05-04,2013-05-09,2013-05-15,2013-05-01,2013-05-08,2013-05-13,2013-05-06,2013-05-11,2013-05-16,0.3777,0.38708,0.40653,0.37097,0.43859
woodshole,DB,0001,rising,gcc_90,2014-05-05,2014-05-09,2014-05-15,2014-05-04,2014-05-08,2014-05-13,2014-05-07,2014-05-11,2014-05-16,0.37607,0.3855,0.40784,0.37036,0.43676
woodshole,DB,0001,rising,gcc_90,2015-05-02,2015-05-05,2015-05-11,2015-04-30,2015-05-04,2015-05-09,2015-05-04,2015-05-07,2015-05-12,0.37382,0.38103,0.39962,0.36918,0.42346
woodshole,DB,0001,rising,gcc_75,2011-05-02,2011-05-06,2011-05-12,2011-04-30,2011-05-05,2011-05-11,2011-05-04,2011-05-08,2011-05-13,0.36985,0.37828,0.39633,0.3635,0.42904
woodshole,DB,0001,rising,gcc_75,2012-05-02,2012-05-09,2012-05-16,2012-04-29,2012-05-07,2012-05-14,2012-05-05,2012-05-11,2012-05-17,0.37554,0.38649,0.40734,0.36882,0.44095
woodshole,DB,0001,rising,gcc_75,2013-05-03,2013-05-08,2013-05-15,2013-04-30,2013-05-07,2013-05-13,2013-05-06,2013-05-10,2013-05-16,0.37511,0.38304,0.4032,0.36931,0.43198
woodshole,DB,0001,rising,gcc_75,2014-05-05,2014-05-09,2014-05-15,2014-05-04,2014-05-08,2014-05-13,2014-05-08,2014-05-11,2014-05-16,0.37409,0.38235,0.40304,0.36914,0.43137
woodshole,DB,0001,rising,gcc_75,2015-05-02,2015-05-05,2015-05-10,2015-05-01,2015-05-04,2015-05-09,2015-05-04,2015-05-07,2015-05-11,0.37173,0.37883,0.39381,0.36814,0.41886
