#
# Transition date estimate for worcester
#
# Site: worcester
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 19:17:52
# Spline RMSE gcc_mean: 0.00205
# Spline RMSE gcc_50: 0.0022
# Spline RMSE gcc_75: 0.00229
# Spline RMSE gcc_90: 0.00227
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
worcester,DB,0001,rising,gcc_90,2014-05-07,2014-05-10,2014-05-15,2014-05-06,2014-05-09,2014-05-13,2014-05-09,2014-05-11,2014-05-16,0.33925,0.35052,0.37697,0.33204,0.4141
worcester,DB,0001,rising,gcc_90,2015-04-30,2015-05-03,2015-05-08,2015-04-29,2015-05-02,2015-05-06,2015-05-02,2015-05-05,2015-05-09,0.3364,0.34625,0.36709,0.33096,0.39942
worcester,DB,0001,rising,gcc_75,2014-05-07,2014-05-10,2014-05-15,2014-05-05,2014-05-09,2014-05-13,2014-05-09,2014-05-11,2014-05-16,0.33828,0.3486,0.37312,0.33079,0.40853
worcester,DB,0001,rising,gcc_75,2015-04-30,2015-05-03,2015-05-08,2015-04-29,2015-05-02,2015-05-06,2015-05-02,2015-05-05,2015-05-09,0.33488,0.34391,0.36323,0.32955,0.39442
worcester,DB,0001,rising,gcc_50,2014-05-06,2014-05-10,2014-05-15,2014-05-05,2014-05-09,2014-05-13,2014-05-08,2014-05-11,2014-05-16,0.33465,0.34618,0.36896,0.32896,0.40022
worcester,DB,0001,rising,gcc_50,2015-04-30,2015-05-03,2015-05-08,2015-04-28,2015-05-02,2015-05-07,2015-05-02,2015-05-05,2015-05-09,0.33363,0.3415,0.35862,0.32746,0.38926
worcester,DB,0001,rising,gcc_mean,2014-05-06,2014-05-09,2014-05-14,2014-05-05,2014-05-08,2014-05-13,2014-05-08,2014-05-11,2014-05-15,0.33517,0.34279,0.36393,0.32918,0.39763
worcester,DB,0001,rising,gcc_mean,2015-04-29,2015-05-03,2015-05-08,2015-04-28,2015-05-02,2015-05-07,2015-05-01,2015-05-04,2015-05-09,0.33181,0.34145,0.35843,0.32745,0.38789
worcester,DB,0001,falling,gcc_90,2015-10-27,2015-10-24,2015-10-14,2015-10-28,2015-10-25,2015-10-16,2015-10-25,2015-10-22,2015-10-12,0.33939,0.34875,0.3651,0.33604,0.3938
worcester,DB,0001,falling,gcc_90,2014-10-26,2014-10-20,2014-10-09,2014-10-27,2014-10-22,2014-10-11,2014-10-24,2014-10-17,2014-10-07,0.34433,0.35374,0.37147,0.33808,0.40475
worcester,DB,0001,falling,gcc_90,2013-10-27,2013-10-23,2013-10-12,2013-10-28,2013-10-24,2013-10-16,2013-10-25,2013-10-21,2013-10-01,0.33777,0.34622,0.36473,0.33152,0.39702
worcester,DB,0001,falling,gcc_75,2015-10-26,2015-10-23,2015-10-14,2015-10-27,2015-10-25,2015-10-17,2015-10-25,2015-10-21,2015-10-12,0.34024,0.34881,0.36287,0.33523,0.38956
worcester,DB,0001,falling,gcc_75,2014-10-27,2014-10-21,2014-10-08,2014-10-28,2014-10-23,2014-10-11,2014-10-24,2014-10-18,2014-10-06,0.34103,0.35167,0.36911,0.33658,0.40014
worcester,DB,0001,falling,gcc_75,2013-10-28,2013-10-23,2013-10-15,2013-10-29,2013-10-24,2013-10-17,2013-10-26,2013-10-21,2013-10-12,0.33346,0.34412,0.361,0.3288,0.39276
worcester,DB,0001,falling,gcc_50,2015-10-26,2015-10-24,2015-10-16,2015-10-27,2015-10-25,2015-10-18,2015-10-25,2015-10-21,2015-10-14,0.33652,0.34248,0.35807,0.33174,0.38366
worcester,DB,0001,falling,gcc_50,2014-10-28,2014-10-24,2014-10-10,2014-10-29,2014-10-25,2014-10-13,2014-10-26,2014-10-21,2014-10-08,0.33577,0.34501,0.36332,0.32984,0.39533
worcester,DB,0001,falling,gcc_50,2013-10-28,2013-10-23,2013-10-15,2013-10-29,2013-10-25,2013-10-18,2013-10-25,2013-10-21,2013-10-13,0.33031,0.34158,0.35839,0.32649,0.38795
worcester,DB,0001,falling,gcc_mean,2015-10-28,2015-10-26,2015-10-18,2015-10-29,2015-10-27,2015-10-21,2015-10-27,2015-10-24,2015-10-17,0.33078,0.33737,0.35528,0.32619,0.38169
worcester,DB,0001,falling,gcc_mean,2014-10-28,2014-10-24,2014-10-11,2014-10-29,2014-10-25,2014-10-14,2014-10-26,2014-10-22,2014-10-10,0.33599,0.34485,0.36253,0.3303,0.39247
worcester,DB,0001,falling,gcc_mean,2013-10-28,2013-10-24,2013-10-16,2013-10-29,2013-10-25,2013-10-18,2013-10-26,2013-10-22,2013-10-14,0.33067,0.3402,0.35669,0.32664,0.38631
